run_accession	sample_name	condition	status	notes
ERR11471971	Day_1_pf_gam_tc_v2	control	KNOWN	Baseline/Control - gamétocytes day 1
ERR11471975	Unknown_Sample_2	unknown	TO_IDENTIFY	Réplicat ou condition différente?
ERR11471979	Unknown_Sample_3	unknown	TO_IDENTIFY	Réplicat ou condition différente?
ERR11471985	Unknown_Sample_4	unknown	TO_IDENTIFY	Réplicat ou condition différente?
