Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95
ERR11471971_1	(1, 31.55480401549831)	(2, 31.53091166330979)	(3, 35.54876975821979)	(4, 36.07450627303082)	(5, 36.37775217265841)	(6, 39.91684952714058)	(7, 40.04745518471752)	(8, 40.16332405234872)	(9, 40.09777642672216)	(10, 40.161170699854225)	(11, 40.19848751915234)	(12, 40.172824427711866)	(13, 40.190023962953)	(14, 40.19072677957312)	(15, 40.14857368461386)	(16, 40.14656824884929)	(17, 40.09655254399619)	(18, 40.09725925316182)	(19, 40.13403917789881)	(20, 40.1709201243386)	(21, 40.18715165176572)	(22, 40.15966718108531)	(23, 40.181595882417376)	(24, 40.1836847588616)	(25, 40.174350803655685)	(26, 40.07917876661061)																																																																						
ERR11471971_2	(1, 28.88685298099069)	(2, 25.28906788366949)	(3, 24.904945126730397)	(4, 29.4153656740282)	(5, 32.653174581183315)	(6, 32.73688021220609)	(7, 34.03318996467081)	(8, 34.465536066057716)	(9, 34.652136175484365)	(10, 35.627927420223386)	(11, 36.326832788456905)	(12, 35.7324145585335)	(13, 35.89212134765313)	(14, 36.732205560200576)	(15, 36.70290803036569)	(16, 36.024770425597644)	(17, 35.411741013117805)	(18, 35.46140033790247)	(19, 36.5479815638713)	(20, 36.20000920928306)	(21, 36.220173425263326)	(22, 35.76992012016934)	(23, 35.30411891826197)	(24, 36.312889063153584)	(25, 36.07374176602097)	(26, 36.30864251736343)	(27, 36.13153761783667)	(28, 36.10368365050077)	(29, 36.163514455013924)	(30, 36.09125486332977)	(31, 36.25204326355887)	(32, 36.64128816765411)	(33, 36.45338091930266)	(34, 36.895772463114625)	(35, 37.061971907480505)	(36, 36.93102162126403)	(37, 36.89877405846795)	(38, 36.913567723853745)	(39, 36.81294400154491)	(40, 36.970739421675475)	(41, 36.88429273757635)	(42, 37.014236459485225)	(43, 36.831061568743074)	(44, 36.710769680959224)	(45, 36.59881005436761)	(46, 36.521619142498416)	(47, 36.58376929535739)	(48, 36.48576365120327)	(49, 36.54518800755058)	(50, 36.37275091579051)	(51, 36.315895676385495)	(52, 36.27181695206897)	(53, 36.23548500213278)	(54, 36.214934317260614)	(55, 36.11819561365833)	(56, 36.092042448891526)	(57, 35.993011958379505)	(58, 35.98030740926301)	(59, 35.85486404187095)	(60, 35.719298285099406)	(61, 35.72373348098687)	(62, 35.599636712969264)	(63, 35.63542206465264)	(64, 35.605493112279056)	(65, 35.6372716141154)	(66, 35.62174041281718)	(67, 35.67365272819292)	(68, 35.62908365382881)	(69, 35.63880000090027)	(70, 35.54297357345309)	(71, 35.50075164869596)	(72, 35.43172085895603)	(73, 35.5100708823316)	(74, 35.45100722290417)	(75, 35.47422561127446)	(76, 35.374899139717925)	(77, 31.570203442139267)	(78, 33.538045168065175)	(79, 34.71225685472655)	(80, 35.247894086751074)	(81, 35.4184924949693)	(82, 35.58276891115761)	(83, 35.62324546277699)	(84, 35.70375280498491)	(85, 35.644946219594836)	(86, 35.5200389903925)	(87, 35.52991400942631)	(88, 35.46830239300785)	(89, 35.40352698568986)	(90, 35.27280567708025)	(91, 35.061048433338975)	(92, 34.988280836791766)	(93, 34.79837143643453)	(94, 34.638912663343476)	(95, 34.426422514158624)	(96, 32.08635206388114)
ERR11471975_1	(1, 31.499170191315137)	(2, 31.546823913787343)	(3, 35.64803526492658)	(4, 36.107920078925794)	(5, 36.41658860220495)	(6, 39.90564416778637)	(7, 40.106408432819684)	(8, 40.23193660137092)	(9, 40.18716822506401)	(10, 40.23663436182748)	(11, 40.252196395864495)	(12, 40.22968839394802)	(13, 40.001977900473086)	(14, 40.16243537284371)	(15, 40.17969602678345)	(16, 40.16862776691745)	(17, 40.163698620253264)	(18, 40.16837489309503)	(19, 40.169049024653326)	(20, 40.22539189921596)	(21, 40.17028144861109)	(22, 40.20893409220407)	(23, 40.24224787558589)	(24, 40.26121297994484)	(25, 40.23590485788934)	(26, 40.0795854514476)																																																																						
ERR11471975_2	(1, 28.1762443960879)	(2, 25.30757806480251)	(3, 25.347423779288196)	(4, 29.598298318784014)	(5, 31.55243927368123)	(6, 32.76758451342383)	(7, 32.63326262907101)	(8, 34.070840377810455)	(9, 33.96243165720396)	(10, 35.27334261581156)	(11, 35.76600182615515)	(12, 35.07988968990007)	(13, 35.302438435325406)	(14, 36.12856044606839)	(15, 35.94728357815173)	(16, 35.5316535058434)	(17, 35.09013044875055)	(18, 35.06524782586877)	(19, 35.91120164315405)	(20, 35.74007346100217)	(21, 35.92387785196529)	(22, 35.47548368895492)	(23, 35.13801242601072)	(24, 35.70348439960023)	(25, 35.57229436723619)	(26, 35.7308866235041)	(27, 35.86234549058334)	(28, 35.821396172669054)	(29, 35.93393356494544)	(30, 35.933526760814516)	(31, 36.049503234738985)	(32, 36.371641115703795)	(33, 36.23000833623642)	(34, 36.59735384522269)	(35, 36.779099853553554)	(36, 36.70172742779522)	(37, 36.593603070473826)	(38, 36.5750595159608)	(39, 36.366352334838496)	(40, 36.63487777560773)	(41, 36.60868656983764)	(42, 36.69866507462798)	(43, 36.44523602111769)	(44, 36.42842362756624)	(45, 36.27553993766489)	(46, 36.27422530225648)	(47, 36.316068687222995)	(48, 36.134866961693916)	(49, 36.23159941290555)	(50, 36.12290309243466)	(51, 35.90621344352348)	(52, 35.903723707832235)	(53, 35.85730454756332)	(54, 35.76537340397645)	(55, 35.622273788083625)	(56, 35.632016697944835)	(57, 35.54183829640955)	(58, 35.48331825558659)	(59, 35.40733237104495)	(60, 35.331303114004065)	(61, 35.14734794752091)	(62, 35.20053074058017)	(63, 35.21113193985548)	(64, 35.16066350342648)	(65, 35.232337621722984)	(66, 35.2587118285931)	(67, 35.32070579395013)	(68, 35.262748801078146)	(69, 35.2576889176429)	(70, 35.187120704602144)	(71, 35.14141715551769)	(72, 35.1440955475594)	(73, 35.100254410321256)	(74, 35.118897317302256)	(75, 35.147783553702126)	(76, 35.26708926421394)	(77, 31.003377166003276)	(78, 33.128207729033115)	(79, 34.3763223661007)	(80, 34.94668525499191)	(81, 35.20335116820941)	(82, 35.4376587566967)	(83, 35.44943124713988)	(84, 35.428148845490554)	(85, 35.444452266502275)	(86, 35.39343036333173)	(87, 35.26487478965886)	(88, 35.19960691335672)	(89, 35.0709132300553)	(90, 34.87082231372537)	(91, 34.664447841619335)	(92, 34.52458068041426)	(93, 34.3145302955213)	(94, 34.10390756189359)	(95, 33.900545270133726)	(96, 31.202775279100923)
ERR11471979_1	(1, 31.53525492548495)	(2, 31.53771361246165)	(3, 35.632297830588236)	(4, 36.08344198324533)	(5, 36.38629235509234)	(6, 39.96200831538626)	(7, 40.12854688980641)	(8, 40.19353308668427)	(9, 40.15751177243377)	(10, 40.159738754887776)	(11, 40.20043919097867)	(12, 40.19405459557191)	(13, 40.144725664784865)	(14, 40.20204417907729)	(15, 40.175327605340975)	(16, 40.15281223280152)	(17, 40.14016921004472)	(18, 40.16418700067609)	(19, 40.15234933152844)	(20, 40.191820049982965)	(21, 40.18786851241367)	(22, 40.21226085193611)	(23, 40.19507152988537)	(24, 40.202563362902254)	(25, 40.2149520184564)	(26, 40.12501185915593)																																																																						
ERR11471979_2	(1, 27.571997516939952)	(2, 25.451235845646412)	(3, 25.869230457166655)	(4, 29.855762037156854)	(5, 32.41614733585499)	(6, 34.719665962787346)	(7, 35.061504642669135)	(8, 34.9010612334388)	(9, 35.018966177714)	(10, 35.66802151009026)	(11, 35.966733991930056)	(12, 35.539105924136784)	(13, 35.474610288760495)	(14, 35.77805502145926)	(15, 35.870486204815144)	(16, 35.387424179572236)	(17, 35.14650302822044)	(18, 35.00660293750023)	(19, 35.59479673420092)	(20, 35.3819661884574)	(21, 35.70663176827752)	(22, 35.43689542023049)	(23, 35.15199640304785)	(24, 35.690008345104296)	(25, 35.540656366799325)	(26, 35.74950966565973)	(27, 35.62846861269603)	(28, 35.65195051646591)	(29, 35.62097261060123)	(30, 35.652413497913564)	(31, 35.95733902829377)	(32, 36.00014124087687)	(33, 36.07361322170681)	(34, 36.23523856452661)	(35, 36.32189135243979)	(36, 36.469471339005736)	(37, 36.52707412561742)	(38, 36.519220384567504)	(39, 36.49774450212203)	(40, 36.45350299556266)	(41, 36.45400991267759)	(42, 36.466594114020964)	(43, 36.445934916524635)	(44, 36.48561855192637)	(45, 36.42012236457485)	(46, 36.409990650041024)	(47, 36.311086999943825)	(48, 36.227545466600795)	(49, 36.18851113835978)	(50, 36.09544157831028)	(51, 35.99081667051772)	(52, 35.96418612410073)	(53, 35.96045373037066)	(54, 35.734258590692384)	(55, 35.67556607125285)	(56, 35.58284711462126)	(57, 35.505339680166514)	(58, 35.4261862616803)	(59, 35.316164616148455)	(60, 35.20771711822858)	(61, 35.118500213772144)	(62, 35.09652193071281)	(63, 35.09878167784327)	(64, 35.08498152216563)	(65, 35.04587132205149)	(66, 35.01023503283657)	(67, 34.9975625325609)	(68, 34.98505831871884)	(69, 34.97017968137875)	(70, 34.96239547841051)	(71, 34.9445481368952)	(72, 34.96918257691027)	(73, 35.07278341485217)	(74, 35.03275756763808)	(75, 34.9951679585196)	(76, 35.07007912642638)	(77, 30.821833974168715)	(78, 32.86983104491043)	(79, 34.137083076841506)	(80, 34.728591450835374)	(81, 35.06425773068644)	(82, 35.190950075666095)	(83, 35.2753011316962)	(84, 35.24151655447304)	(85, 35.23658731468248)	(86, 35.234814093599965)	(87, 35.179474635249775)	(88, 35.07775667048458)	(89, 34.987310983761816)	(90, 34.80347632148145)	(91, 34.57848206331728)	(92, 34.41464657470429)	(93, 34.19617029571537)	(94, 34.01128350248298)	(95, 33.725903945620686)	(96, 30.99756990862183)
ERR11471985_1	(1, 31.20756282512955)	(2, 31.556411348167853)	(3, 35.553081969308394)	(4, 36.1314025107516)	(5, 36.31990664073995)	(6, 39.87926082946841)	(7, 39.99065560401059)	(8, 40.05549563180695)	(9, 40.022796886834364)	(10, 40.07785278709845)	(11, 40.05326317036307)	(12, 40.0598404616381)	(13, 40.115634284798546)	(14, 40.11632422926136)	(15, 40.097745753930404)	(16, 40.05853318813153)	(17, 39.99707657072758)	(18, 39.967265143281544)	(19, 40.01209962312924)	(20, 40.069242329411196)	(21, 40.05009378493664)	(22, 40.052172382254966)	(23, 40.05876297728444)	(24, 40.09260513749191)	(25, 40.11209637884215)	(26, 39.98126407876345)	(27, 38.68931787993024)	(28, 38.364757472665524)																																																																				
ERR11471985_2	(1, 29.31534554324771)	(2, 25.097109122467156)	(3, 25.74283706591466)	(4, 29.385860841639925)	(5, 32.19409203345709)	(6, 31.906534603860027)	(7, 32.056679818367826)	(8, 31.420069780478254)	(9, 32.04932614088676)	(10, 33.24128223588428)	(11, 34.40978086147145)	(12, 33.63365119363092)	(13, 33.68237470274764)	(14, 34.950230132089295)	(15, 34.98012148004377)	(16, 34.20735271943656)	(17, 33.81885708120635)	(18, 33.629975960703625)	(19, 34.91043381235196)	(20, 34.45658702957973)	(21, 34.95901005478599)	(22, 34.128240201790305)	(23, 33.585101885311836)	(24, 35.01962451840572)	(25, 34.739659678639214)	(26, 35.16148271322995)	(27, 34.59323444209203)	(28, 34.77194208795132)	(29, 34.78090157867227)	(30, 34.79978925198171)	(31, 35.254410385115385)	(32, 35.68096016091664)	(33, 35.58398942144672)	(34, 36.02917510081513)	(35, 36.18224460465803)	(36, 36.188092007546345)	(37, 36.207158236401185)	(38, 36.1131541797359)	(39, 36.12087344917906)	(40, 36.08404075303605)	(41, 36.093893489619425)	(42, 36.24781575105736)	(43, 36.11848459785592)	(44, 36.098143189985564)	(45, 35.9579311224787)	(46, 35.986547955516684)	(47, 36.0213645667456)	(48, 35.89056453534787)	(49, 35.99003282064525)	(50, 35.96169780510914)	(51, 35.776929885403725)	(52, 35.81773099786759)	(53, 35.71562712123846)	(54, 35.561610437982026)	(55, 35.48703532800015)	(56, 35.39094046983591)	(57, 35.33694824937507)	(58, 35.26457353900662)	(59, 35.218614641511174)	(60, 35.062227669043956)	(61, 35.072342648538)	(62, 34.8862973288957)	(63, 34.939664262011235)	(64, 34.95609219959072)	(65, 35.03770827261636)	(66, 34.955567321842096)	(67, 34.99416456178119)	(68, 34.976328374981236)	(69, 35.045772046155534)	(70, 34.971189032306455)	(71, 34.90580155828117)	(72, 34.871058368099646)	(73, 34.84415765406254)	(74, 34.813131687463674)	(75, 34.84665711597902)	(76, 34.862183283277325)	(77, 30.441690123334077)	(78, 32.393300057254045)	(79, 33.885353796583416)	(80, 34.62280251534586)	(81, 34.96686014085214)	(82, 35.22000032225134)	(83, 35.27368685030565)	(84, 35.31195103913536)	(85, 35.33226640561406)	(86, 35.14370251759944)	(87, 35.04646993803303)	(88, 34.77834690944095)	(89, 34.686012920318895)	(90, 34.58186229046451)	(91, 34.30614034677074)	(92, 34.11538241707444)	(93, 33.9667562256835)	(94, 33.64669024472267)	(95, 33.46950692388565)	(96, 30.653674737574736)
