Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95
ERR11471971_1	(1, 0.14006153616375877)	(2, 0.06454430818157356)	(3, 0.009098594562309452)	(4, 0.12968448944579633)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.005945817168354291)	(13, 5.534424916246625e-05)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0003357551115856286)	(22, 0.0)	(23, 0.0)	(24, 0.0006106315490925444)	(25, 0.0)	(26, 0.0)																																																																						
ERR11471971_2	(1, 3.2391088882236923)	(2, 0.0815811128820861)	(3, 0.16526161761573507)	(4, 0.057261004991793)	(5, 0.0)	(6, 0.0)	(7, 0.0052706173285722024)	(8, 0.0005829594245113112)	(9, 9.224041527077709e-06)	(10, 0.0)	(11, 0.0)	(12, 0.0003781857026101861)	(13, 0.0)	(14, 0.0)	(15, 0.0018687908133859438)	(16, 0.0)	(17, 0.0)	(18, 0.006039902391930484)	(19, 0.0)	(20, 0.0)	(21, 0.0032874484002504956)	(22, 0.000752681788609541)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 1.4758466443324334e-05)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0006493725235062707)	(32, 1.4758466443324334e-05)	(33, 2.029289135957096e-05)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0032874484002504956)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 7.379233221662167e-05)	(48, 0.002994123879689424)	(49, 0.001215728673268842)	(50, 3.6896166108310834e-06)	(51, 3.6896166108310834e-06)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0037504952849097962)	(57, 0.005752112296285659)	(58, 0.004134215412436229)	(59, 0.0)	(60, 0.0016012936091006902)	(61, 0.0)	(62, 0.0)	(63, 0.0)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 0.0)	(68, 0.0)	(69, 7.379233221662167e-05)	(70, 0.0005220807504325983)	(71, 0.005154394405331024)	(72, 0.0007323888972499701)	(73, 0.0)	(74, 0.0012563144559879838)	(75, 0.0)	(76, 0.0)	(77, 0.003822442808821003)	(78, 0.0)	(79, 0.004811260060523733)	(80, 0.0019112214044105015)	(81, 0.005523356066414132)	(82, 0.004383264533667327)	(83, 0.0007748194882745276)	(84, 0.0)	(85, 0.009694467644958672)	(86, 0.0055787003155765985)	(87, 0.0042596623772044855)	(88, 0.0008818183699886291)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.0)	(94, 0.03547750852144629)	(95, 0.0)	(96, 0.0)
ERR11471975_1	(1, 0.34386610096246173)	(2, 0.09648745267598213)	(3, 0.010212167119427497)	(4, 0.2025946733032511)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0016054367988665194)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 3.5053205215426186e-05)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0006590002580500124)																																																																						
ERR11471975_2	(1, 3.3073353447251965)	(2, 0.08637226609098397)	(3, 0.09507247162545276)	(4, 0.0034445616325025474)	(5, 0.0)	(6, 0.0006508211768330796)	(7, 0.0003937643385866208)	(8, 0.0001881188679894539)	(9, 0.0)	(10, 0.0010679543188966511)	(11, 0.0)	(12, 0.0)	(13, 0.0027528450495848036)	(14, 0.0)	(15, 0.0012093355799322036)	(16, 1.0515961564627857e-05)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0033242122945962506)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0012969685929707692)	(27, 0.0001881188679894539)	(28, 0.0016393215639080984)	(29, 0.0)	(30, 0.0006227786126607387)	(31, 0.005142305205103022)	(32, 0.0)	(33, 0.008197776259714339)	(34, 0.0)	(35, 0.0)	(36, 0.0008926882928195204)	(37, 0.0)	(38, 0.0)	(39, 7.244329077854746e-05)	(40, 0.0)	(41, 0.0020038748981485305)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 2.8042564172340955e-05)	(47, 0.0)	(48, 0.0004673760695390159)	(49, 0.0)	(50, 0.0)	(51, 0.005180863730839991)	(52, 0.00352401556432418)	(53, 0.0)	(54, 0.0)	(55, 0.00039610121893431593)	(56, 0.0008436138055179237)	(57, 0.0014196548112247608)	(58, 0.0075551341640981914)	(59, 0.002375438873432048)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.006151837515307297)	(64, 0.0)	(65, 0.0003236579281557685)	(66, 0.0)	(67, 0.0033545917391162865)	(68, 0.0003084682058957505)	(69, 0.0)	(70, 0.0013974544479216575)	(71, 0.008337989080576043)	(72, 9.931741477704086e-05)	(73, 3.5053205215426186e-05)	(74, 0.0035310262053672653)	(75, 0.0)	(76, 0.0)	(77, 0.0032097051575591916)	(78, 2.3368803476950795e-05)	(79, 0.002630158831330812)	(80, 0.0025600524208999596)	(81, 0.0)	(82, 0.0)	(83, 0.0038616947745661184)	(84, 0.0)	(85, 0.0005269665184052404)	(86, 0.0010364064342027676)	(87, 0.0)	(88, 8.880145321241301e-05)	(89, 0.00012268621825399167)	(90, 0.0)	(91, 0.00021616143216179485)	(92, 0.0009183939766441662)	(93, 0.0005082714756236798)	(94, 0.056906541786896726)	(95, 0.002243405133787276)	(96, 9.230677373395564e-05)
ERR11471979_1	(1, 0.20646823886870894)	(2, 0.1496886046219146)	(3, 0.0005050998245619943)	(4, 0.233495088211542)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.009310940681343851)	(26, 4.8104745196380405e-05)																																																																						
ERR11471979_2	(1, 3.2214598689102933)	(2, 0.045028713989656306)	(3, 0.06747492259545626)	(4, 0.05257848649964378)	(5, 0.0)	(6, 0.0)	(7, 0.004818491977170771)	(8, 0.0)	(9, 0.007017947826983052)	(10, 0.005572132985247397)	(11, 0.007338646128292255)	(12, 0.00426795989325664)	(13, 0.00508841304743935)	(14, 0.013883563960844236)	(15, 5.344971688486711e-06)	(16, 0.004802457062105311)	(17, 0.0011892562006882933)	(18, 0.020527363769633218)	(19, 0.0034688866258278765)	(20, 0.0033593147062138985)	(21, 0.007490977821414126)	(22, 0.00512048287757027)	(23, 5.612220272911048e-05)	(24, 0.004102265770913552)	(25, 0.0)	(26, 0.0)	(27, 0.003944589106103193)	(28, 0.006913720879057562)	(29, 0.004954788755227182)	(30, 5.077723104062376e-05)	(31, 0.0)	(32, 0.015110234963351933)	(33, 2.6724858442433556e-05)	(34, 0.0)	(35, 0.006005075692014821)	(36, 0.0)	(37, 0.01233619465702733)	(38, 0.0)	(39, 0.0)	(40, 0.004527191020148245)	(41, 0.006598367549436846)	(42, 0.0048772866657441245)	(43, 0.0)	(44, 0.0)	(45, 0.005216692367963031)	(46, 0.0)	(47, 0.012213260308192137)	(48, 0.0)	(49, 0.0)	(50, 0.003490266512581823)	(51, 0.005489285924075853)	(52, 0.004599348137942816)	(53, 0.0)	(54, 0.0025415340378754318)	(55, 0.006200167158644586)	(56, 0.0021326437037061984)	(57, 0.0029424069145119348)	(58, 0.005010910957956292)	(59, 0.003313882446861761)	(60, 0.0)	(61, 0.008920757748084322)	(62, 0.0)	(63, 0.0022181632507219853)	(64, 0.014113397743449163)	(65, 0.0)	(66, 0.0)	(67, 0.005382386490306119)	(68, 0.00548661343823161)	(69, 0.004137008086888714)	(70, 0.003372677135435115)	(71, 0.0025629139246293783)	(72, 0.00785176341038698)	(73, 0.003514318885180013)	(74, 0.004599348137942816)	(75, 0.0036158733472612605)	(76, 0.0027286080469724663)	(77, 0.0)	(78, 0.004759697288597417)	(79, 0.0021299712178619546)	(80, 0.006389913653585863)	(81, 0.0)	(82, 0.0023544600287783964)	(83, 0.004949443783538695)	(84, 0.0)	(85, 0.010339847731377545)	(86, 0.0)	(87, 0.0)	(88, 0.0026190361273584887)	(89, 0.006061197894743932)	(90, 0.0024453245474826703)	(91, 0.0032123279847805137)	(92, 0.0)	(93, 0.003696047922588561)	(94, 0.07177762480468805)	(95, 0.00078838332405179)	(96, 0.0)
ERR11471985_1	(1, 1.1251013431457413)	(2, 0.0)	(3, 0.1226710672844457)	(4, 0.010001766938907352)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 2.612848661519282e-05)	(23, 0.0)	(24, 5.225697323038564e-05)	(25, 0.0)	(26, 4.354747769198804e-06)	(27, 0.0)	(28, 0.13303863303596578)																																																																				
ERR11471985_2	(1, 0.7886284906977687)	(2, 0.031422771215596265)	(3, 0.0011159041158571934)	(4, 0.03864403170387018)	(5, 0.004079309972796979)	(6, 0.0)	(7, 0.0014490423202009018)	(8, 0.0038474196540871433)	(9, 0.0030483234384391625)	(10, 0.0)	(11, 0.00888368544916556)	(12, 0.013735963150995326)	(13, 0.0)	(14, 0.0)	(15, 0.0011093719942033952)	(16, 0.002716273921037754)	(17, 0.0)	(18, 0.01662860435668563)	(19, 0.0)	(20, 0.0)	(21, 0.00041261235113158667)	(22, 0.0)	(23, 0.0004626919504773729)	(24, 0.008079145798806081)	(25, 0.0)	(26, 0.0007272428774562003)	(27, 0.006169588902012405)	(28, 0.010437241715827232)	(29, 0.005966004443802361)	(30, 0.01962358213495211)	(31, 0.0)	(32, 0.008078057111863782)	(33, 0.01889089582278441)	(34, 0.0)	(35, 0.001725568803545026)	(36, 0.008643085634917325)	(37, 0.000709823886379405)	(38, 0.0)	(39, 0.0024288605682706325)	(40, 5.334566017268534e-05)	(41, 0.0019977405391199514)	(42, 0.0010255430996463184)	(43, 0.007907133261922727)	(44, 0.021422092963631213)	(45, 0.02420695416203385)	(46, 0.0)	(47, 0.00017310122382565245)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.005572988457632169)	(52, 0.0)	(53, 0.002399466020828541)	(54, 0.019978494078141812)	(55, 0.0001208442505952668)	(56, 0.006340512751953458)	(57, 4.354747769198804e-05)	(58, 0.0026084939137500833)	(59, 0.0)	(60, 0.0)	(61, 0.0009656653178198348)	(62, 0.0019454835658895655)	(63, 0.007339927364984583)	(64, 0.0007054691386102062)	(65, 0.03207816075486069)	(66, 0.0007849432853980844)	(67, 0.0)	(68, 0.0006455913567837226)	(69, 0.0)	(70, 0.0)	(71, 0.004427689794332884)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 0.0)	(76, 0.0)	(77, 0.0001175781897683677)	(78, 0.008466718350264774)	(79, 0.010415467976981238)	(80, 0.0005203923584192571)	(81, 2.2862425788293718e-05)	(82, 0.0)	(83, 0.004079309972796979)	(84, 0.02654001027938211)	(85, 0.008134668832863364)	(86, 0.01772817816840833)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.18011672248183172)	(92, 0.0)	(93, 0.00964685499571765)	(94, 0.0)	(95, 0.0)	(96, 0.010335993830193362)
