Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
ERR11471971_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 2.3978233748723305e-07)	(3.0, 4.795646749744661e-07)	(4.0, 4.795646749744661e-07)	(5.0, 4.795646749744661e-07)	(6.0, 6.9536877871297585e-06)	(7.0, 1.3427810899285049e-05)	(8.0, 1.3427810899285049e-05)	(9.0, 1.3427810899285049e-05)	(10.0, 7.433252462104224e-05)	(11.0, 0.00013523723834279943)	(12.0, 0.00013523723834279943)	(13.0, 0.0004505510121385109)	(14.0, 0.0007658647859342223)	(15.0, 0.0007658647859342223)	(16.0, 0.0007658647859342223)	(17.0, 0.002529943442827796)	(18.0, 0.004294022099721369)	(19.0, 0.004294022099721369)	(20.0, 0.004294022099721369)	(21.0, 0.01810668365067343)	(22.0, 0.03191934520162549)	(23.0, 0.03191934520162549)	(24.0, 0.03191934520162549)	(25.0, 0.10610584237913799)	(26.0, 0.18029233955665053)	(27.0, 0.18029233955665053)	(28.0, 0.18029233955665053)	(29.0, 0.460953249503382)	(30.0, 0.7416141594501136)	(31.0, 0.7416141594501136)	(32.0, 0.7416141594501136)	(33.0, 1.1459747010067711)	(34.0, 1.550335242563429)	(35.0, 1.550335242563429)	(36.0, 1.550335242563429)	(37.0, 2.1827201549062956)	(38.0, 2.8151050672491627)	(39.0, 2.8151050672491627)	(40.0, 3.430592997833979)	(41.0, 4.046080928418795)	(42.0, 4.046080928418795)	(43.0, 4.046080928418795)	(44.0, 4.347530727243332)	(45.0, 4.64898052606787)	(46.0, 4.64898052606787)	(47.0, 4.64898052606787)	(48.0, 4.548842386504114)	(49.0, 4.448704246940358)	(50.0, 4.448704246940358)	(51.0, 4.448704246940358)	(52.0, 3.9516534450046352)	(53.0, 3.454602643068913)	(54.0, 3.454602643068913)	(55.0, 3.454602643068913)	(56.0, 2.8383498068275124)	(57.0, 2.2220969705861116)	(58.0, 2.2220969705861116)	(59.0, 2.2220969705861116)	(60.0, 1.6941590864116463)	(61.0, 1.1662212022371807)	(62.0, 1.1662212022371807)	(63.0, 0.8261662072948616)	(64.0, 0.4861112123525425)	(65.0, 0.4861112123525425)	(66.0, 0.4861112123525425)	(67.0, 0.32105248447879337)	(68.0, 0.15599375660504425)	(69.0, 0.15599375660504425)	(70.0, 0.15599375660504425)	(71.0, 0.0960088479298881)	(72.0, 0.03602393925473194)	(73.0, 0.03602393925473194)	(74.0, 0.03602393925473194)	(75.0, 0.020830850786865883)	(76.0, 0.005637762318999822)	(77.0, 0.005637762318999822)	(78.0, 0.005637762318999822)	(79.0, 0.0030296498341511892)	(80.0, 0.00042153734930255567)	(81.0, 0.00042153734930255567)	(82.0, 0.00042153734930255567)	(83.0, 0.00021724279776343314)	(84.0, 1.2948246224310584e-05)	(85.0, 1.2948246224310584e-05)	(86.0, 1.2948246224310584e-05)	(87.0, 8.152599474565922e-06)	(88.0, 3.3569527248212622e-06)	(89.0, 3.3569527248212622e-06)	(90.0, 1.6784763624106311e-06)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
ERR11471971_2	(0.0, 0.014974863509740357)	(1.0, 0.025804493468084295)	(2.0, 0.050760562633798134)	(3.0, 0.0814373857889523)	(4.0, 0.11891207773717348)	(5.0, 0.16928508852914806)	(6.0, 0.23208157987219133)	(7.0, 0.2978842165828929)	(8.0, 0.3920671699265916)	(9.0, 0.5528575410579317)	(10.0, 0.7254350745135627)	(11.0, 0.9127299764488936)	(12.0, 1.1731770342574355)	(13.0, 1.4891758079875446)	(14.0, 1.8164877786137685)	(15.0, 2.1322805563198455)	(16.0, 2.4188585589226927)	(17.0, 2.6866682288613735)	(18.0, 3.0829408599904555)	(19.0, 3.595232023010664)	(20.0, 3.947606552272652)	(21.0, 4.230053287156241)	(22.0, 4.6405038564987)	(23.0, 5.0479631191701495)	(24.0, 5.23821266746713)	(25.0, 5.2463189601586055)	(26.0, 5.105275402805585)	(27.0, 4.706610250058399)	(28.0, 4.27350099093689)	(29.0, 4.053753859435889)	(30.0, 4.162952700921233)	(31.0, 4.317142470638453)	(32.0, 3.9923783915128657)	(33.0, 3.4441400494345067)	(34.0, 2.940989523548479)	(35.0, 2.3754771928446967)	(36.0, 2.026854235240721)	(37.0, 1.7624688127693233)	(38.0, 1.3486385120495192)	(39.0, 1.051574788104721)	(40.0, 0.8407317474560669)	(41.0, 0.6413485449409742)	(42.0, 0.49037702666700583)	(43.0, 0.36716172690237725)	(44.0, 0.29317773115245926)	(45.0, 0.26046364223420565)	(46.0, 0.24695868255696718)	(47.0, 0.22361653986767618)	(48.0, 0.19713295781189208)	(49.0, 0.1503020311958633)	(50.0, 0.1165029716934055)	(51.0, 0.09298451037337496)	(52.0, 0.054353272951243405)	(53.0, 0.03152524745752463)	(54.0, 0.019355770478461903)	(55.0, 0.01382006376484723)	(56.0, 0.012534334343662364)	(57.0, 0.011362077308597006)	(58.0, 0.009083028076612156)	(59.0, 0.006563068240250509)	(60.0, 0.004915972912500448)	(61.0, 0.004181020996249493)	(62.0, 0.003417264551214356)	(63.0, 0.00292933329090048)	(64.0, 0.003032331302916647)	(65.0, 0.0031056519216400204)	(66.0, 0.003156278063139492)	(67.0, 0.0027329387764628735)	(68.0, 0.002100112007719474)	(69.0, 0.0015109284644066541)	(70.0, 0.0008711187795943621)	(71.0, 0.0006590127040017469)	(72.0, 0.0005987850529075474)	(73.0, 0.0005080071440119427)	(74.0, 0.00041199204806466826)	(75.0, 0.0003997719449441061)	(76.0, 0.00036747595812547737)	(77.0, 0.00032645132622073284)	(78.0, 0.0003185955456432286)	(79.0, 0.00029153674587626945)	(80.0, 0.000260986488074864)	(81.0, 0.00025924075905764084)	(82.0, 0.0002426563333940207)	(83.0, 0.0002182161271528963)	(84.0, 0.0002129789401012268)	(85.0, 0.00020425029501511092)	(86.0, 0.00020512315952372255)	(87.0, 0.00019203019189454874)	(88.0, 0.00015624274704147375)	(89.0, 0.00016322566311036642)	(90.0, 0.00016060706958453166)	(91.0, 0.0001405311858864652)	(92.0, 0.00014489550842952315)	(93.0, 0.00015711561155008533)	(94.0, 0.0001702085791792591)	(95.0, 0.00016933571467064754)	(96.0, 0.00016060706958453166)	(97.0, 9.688796045588595e-05)	(98.0, 2.35673417325128e-05)	(99.0, 5.237187051669511e-06)	(100.0, 0.0)
ERR11471975_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 1.517920855958728e-07)	(3.0, 3.035841711917456e-07)	(4.0, 3.035841711917456e-07)	(5.0, 3.035841711917456e-07)	(6.0, 1.1080822248498714e-05)	(7.0, 2.1858060325805684e-05)	(8.0, 2.1858060325805684e-05)	(9.0, 2.1858060325805684e-05)	(10.0, 8.834299381679797e-05)	(11.0, 0.00015482792730779025)	(12.0, 0.00015482792730779025)	(13.0, 0.0005330938046127052)	(14.0, 0.0009113596819176203)	(15.0, 0.0009113596819176203)	(16.0, 0.0009113596819176203)	(17.0, 0.0033023886142238084)	(18.0, 0.005693417546529997)	(19.0, 0.005693417546529997)	(20.0, 0.005693417546529997)	(21.0, 0.021529885836747406)	(22.0, 0.03736635412696481)	(23.0, 0.03736635412696481)	(24.0, 0.03736635412696481)	(25.0, 0.11250313291275066)	(26.0, 0.1876399116985365)	(27.0, 0.1876399116985365)	(28.0, 0.1876399116985365)	(29.0, 0.4589394242048959)	(30.0, 0.7302389367112553)	(31.0, 0.7302389367112553)	(32.0, 0.7302389367112553)	(33.0, 1.1318343468197423)	(34.0, 1.5334297569282296)	(35.0, 1.5334297569282296)	(36.0, 1.5334297569282296)	(37.0, 2.1552888409398605)	(38.0, 2.777147924951491)	(39.0, 2.777147924951491)	(40.0, 3.424494569847611)	(41.0, 4.07184121474373)	(42.0, 4.07184121474373)	(43.0, 4.07184121474373)	(44.0, 4.360718706138349)	(45.0, 4.649596197532967)	(46.0, 4.649596197532967)	(47.0, 4.649596197532967)	(48.0, 4.569403224375983)	(49.0, 4.489210251218998)	(50.0, 4.489210251218998)	(51.0, 4.489210251218998)	(52.0, 3.9775640611326475)	(53.0, 3.4659178710462966)	(54.0, 3.4659178710462966)	(55.0, 3.4659178710462966)	(56.0, 2.838929884254467)	(57.0, 2.2119418974626366)	(58.0, 2.2119418974626366)	(59.0, 2.2119418974626366)	(60.0, 1.6813264022314554)	(61.0, 1.150710907000274)	(62.0, 1.150710907000274)	(63.0, 0.8142784731093247)	(64.0, 0.47784603921837543)	(65.0, 0.47784603921837543)	(66.0, 0.47784603921837543)	(67.0, 0.31458515080322086)	(68.0, 0.15132426238806632)	(69.0, 0.15132426238806632)	(70.0, 0.15132426238806632)	(71.0, 0.09329718390647605)	(72.0, 0.03527010542488581)	(73.0, 0.03527010542488581)	(74.0, 0.03527010542488581)	(75.0, 0.020286405071546016)	(76.0, 0.00530270471820622)	(77.0, 0.00530270471820622)	(78.0, 0.00530270471820622)	(79.0, 0.0028631023185093528)	(80.0, 0.0004234999188124851)	(81.0, 0.0004234999188124851)	(82.0, 0.0004234999188124851)	(83.0, 0.0002176698507444816)	(84.0, 1.1839782676478078e-05)	(85.0, 1.1839782676478078e-05)	(86.0, 1.1839782676478078e-05)	(87.0, 6.830643851814277e-06)	(88.0, 1.8215050271504735e-06)	(89.0, 1.8215050271504735e-06)	(90.0, 1.2143366847669825e-06)	(91.0, 6.071683423834912e-07)	(92.0, 6.071683423834912e-07)	(93.0, 6.071683423834912e-07)	(94.0, 3.035841711917456e-07)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
ERR11471975_2	(0.0, 0.00856834168074794)	(1.0, 0.015046924960103694)	(2.0, 0.03130097056542068)	(3.0, 0.05248759906411383)	(4.0, 0.08021261314935678)	(5.0, 0.1141598358081143)	(6.0, 0.1585475445978336)	(7.0, 0.2083268743611501)	(8.0, 0.27234690538758377)	(9.0, 0.3958558352203684)	(10.0, 0.539513712777016)	(11.0, 0.6824822026257321)	(12.0, 0.8967970598572201)	(13.0, 1.1797372794941503)	(14.0, 1.4863990809847218)	(15.0, 1.7927624246643896)	(16.0, 2.1073308663811083)	(17.0, 2.459101880423194)	(18.0, 2.9270914800710557)	(19.0, 3.459740109472221)	(20.0, 3.801030769178549)	(21.0, 4.059834666886946)	(22.0, 4.447564033029723)	(23.0, 4.766686309694255)	(24.0, 4.884774271124911)	(25.0, 4.901943070540272)	(26.0, 4.8058490687554265)	(27.0, 4.558433080766964)	(28.0, 4.291522648083372)	(29.0, 4.11812696582435)	(30.0, 4.062647590225333)	(31.0, 3.972491736054831)	(32.0, 3.730791851929)	(33.0, 3.3662347723737858)	(34.0, 3.0315949044425303)	(35.0, 2.7775004384256645)	(36.0, 2.4785653165145916)	(37.0, 2.1487589146897883)	(38.0, 1.7998063612367559)	(39.0, 1.4786679716046907)	(40.0, 1.2144796513485623)	(41.0, 0.9789349750631855)	(42.0, 0.7505887246437595)	(43.0, 0.5800779499817822)	(44.0, 0.5151525784714385)	(45.0, 0.5416577362349361)	(46.0, 0.604706533494533)	(47.0, 0.6060642673578647)	(48.0, 0.5315295510415433)	(49.0, 0.3958757693227664)	(50.0, 0.3131226655677956)	(51.0, 0.2465311353320176)	(52.0, 0.13599819871020932)	(53.0, 0.07166531302114007)	(54.0, 0.03909077480251271)	(55.0, 0.023332866856879717)	(56.0, 0.018336605580843227)	(57.0, 0.015172066825157917)	(58.0, 0.011706855358302506)	(59.0, 0.008867353216718206)	(60.0, 0.00703396952116719)	(61.0, 0.005870039431149601)	(62.0, 0.004703340715798954)	(63.0, 0.0037287845985625326)	(64.0, 0.0034829306689869812)	(65.0, 0.003322904124736228)	(66.0, 0.003341177051934411)	(67.0, 0.0029391726535743876)	(68.0, 0.00218333793764955)	(69.0, 0.0014933965046514926)	(70.0, 0.0008948197076443501)	(71.0, 0.0007563884409914494)	(72.0, 0.0006002379722069774)	(73.0, 0.00048450943328515243)	(74.0, 0.0004468561287555635)	(75.0, 0.0004330130020902733)	(76.0, 0.0003970208727605192)	(77.0, 0.0003388797407663009)	(78.0, 0.0002835072341051406)	(79.0, 0.0002497300050418329)	(80.0, 0.0002513911802416677)	(81.0, 0.00024751510477538646)	(82.0, 0.00023477942824331959)	(83.0, 0.00022979590264381517)	(84.0, 0.00022979590264381517)	(85.0, 0.00020875435011257425)	(86.0, 0.0001926963231808378)	(87.0, 0.00019601867358050735)	(88.0, 0.0002015559242466234)	(89.0, 0.0001987872989135654)	(90.0, 0.00018383672211505213)	(91.0, 0.00017386967091604326)	(92.0, 0.0001771920213157129)	(93.0, 0.0001755308461158781)	(94.0, 0.00017110104558298525)	(95.0, 0.00017220849571620845)	(96.0, 0.0001384312666529007)	(97.0, 7.641405919240119e-05)	(98.0, 2.6578803197356934e-05)	(99.0, 3.87607546628122e-06)	(100.0, 0.0)
ERR11471979_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 3.4713694465682477e-07)	(3.0, 6.942738893136495e-07)	(4.0, 6.942738893136495e-07)	(5.0, 6.942738893136495e-07)	(6.0, 4.859917225195547e-06)	(7.0, 9.025560561077444e-06)	(8.0, 9.025560561077444e-06)	(9.0, 9.025560561077444e-06)	(10.0, 8.921419477680396e-05)	(11.0, 0.00016940282899253047)	(12.0, 0.00016940282899253047)	(13.0, 0.00047002342306534076)	(14.0, 0.000770644017138151)	(15.0, 0.000770644017138151)	(16.0, 0.000770644017138151)	(17.0, 0.0025799217726895215)	(18.0, 0.004389199528240892)	(19.0, 0.004389199528240892)	(20.0, 0.004389199528240892)	(21.0, 0.019410509397431015)	(22.0, 0.03443181926662114)	(23.0, 0.03443181926662114)	(24.0, 0.03443181926662114)	(25.0, 0.10669392848805372)	(26.0, 0.17895603770948632)	(27.0, 0.17895603770948632)	(28.0, 0.17895603770948632)	(29.0, 0.4416494906199258)	(30.0, 0.7043429435303654)	(31.0, 0.7043429435303654)	(32.0, 0.7043429435303654)	(33.0, 1.10241633348752)	(34.0, 1.5004897234446746)	(35.0, 1.5004897234446746)	(36.0, 1.5004897234446746)	(37.0, 2.1320942858655383)	(38.0, 2.7636988482864018)	(39.0, 2.7636988482864018)	(40.0, 3.429160371193535)	(41.0, 4.094621894100668)	(42.0, 4.094621894100668)	(43.0, 4.094621894100668)	(44.0, 4.383635617291932)	(45.0, 4.672649340483197)	(46.0, 4.672649340483197)	(47.0, 4.672649340483197)	(48.0, 4.58968013934077)	(49.0, 4.506710938198342)	(50.0, 4.506710938198342)	(51.0, 4.506710938198342)	(52.0, 3.9845461574977676)	(53.0, 3.462381376797193)	(54.0, 3.462381376797193)	(55.0, 3.462381376797193)	(56.0, 2.8424944219432207)	(57.0, 2.2226074670892477)	(58.0, 2.2226074670892477)	(59.0, 2.2226074670892477)	(60.0, 1.6865297847837728)	(61.0, 1.1504521024782974)	(62.0, 1.1504521024782974)	(63.0, 0.8182816200534071)	(64.0, 0.4861111376285166)	(65.0, 0.4861111376285166)	(66.0, 0.4861111376285166)	(67.0, 0.319686396484197)	(68.0, 0.15326165533987743)	(69.0, 0.15326165533987743)	(70.0, 0.15326165533987743)	(71.0, 0.09490828208000986)	(72.0, 0.03655490882014227)	(73.0, 0.03655490882014227)	(74.0, 0.03655490882014227)	(75.0, 0.020986858263117653)	(76.0, 0.005418807706093035)	(77.0, 0.005418807706093035)	(78.0, 0.005418807706093035)	(79.0, 0.0029721865201517337)	(80.0, 0.0005255653342104327)	(81.0, 0.0005255653342104327)	(82.0, 0.0005255653342104327)	(83.0, 0.00027389104933423473)	(84.0, 2.2216764458036785e-05)	(85.0, 2.2216764458036785e-05)	(86.0, 2.2216764458036785e-05)	(87.0, 1.2149793062988867e-05)	(88.0, 2.0828216679409487e-06)	(89.0, 2.0828216679409487e-06)	(90.0, 2.0828216679409487e-06)	(91.0, 2.0828216679409487e-06)	(92.0, 2.0828216679409487e-06)	(93.0, 2.0828216679409487e-06)	(94.0, 1.388547778627299e-06)	(95.0, 6.942738893136495e-07)	(96.0, 6.942738893136495e-07)	(97.0, 6.942738893136495e-07)	(98.0, 3.4713694465682477e-07)	(99.0, 0.0)	(100.0, 0.0)
ERR11471979_2	(0.0, 0.011370859034576318)	(1.0, 0.02019290251906712)	(2.0, 0.04070504038536166)	(3.0, 0.06508600662638836)	(4.0, 0.09270999861702688)	(5.0, 0.13054318768427528)	(6.0, 0.17341573473275637)	(7.0, 0.21860527166250304)	(8.0, 0.2831338832381769)	(9.0, 0.3844138307599396)	(10.0, 0.5084697001380579)	(11.0, 0.6550139261986404)	(12.0, 0.8668189782424263)	(13.0, 1.1463183923885578)	(14.0, 1.4594413961621095)	(15.0, 1.7912738715356677)	(16.0, 2.142359278683679)	(17.0, 2.540032777615957)	(18.0, 3.018414546277832)	(19.0, 3.533600856777)	(20.0, 3.9228754257405565)	(21.0, 4.212133053694993)	(22.0, 4.532875901173199)	(23.0, 4.80030011162976)	(24.0, 4.929903328569422)	(25.0, 4.958588904770284)	(26.0, 4.875493970778083)	(27.0, 4.669015841889421)	(28.0, 4.416071234682103)	(29.0, 4.204685495733287)	(30.0, 4.110471797286264)	(31.0, 4.009746711201348)	(32.0, 3.7992578715614096)	(33.0, 3.5019813557182844)	(34.0, 3.128776232705441)	(35.0, 2.7394661931477478)	(36.0, 2.340449878866021)	(37.0, 1.9684912938756838)	(38.0, 1.6206299103732829)	(39.0, 1.3413065823908996)	(40.0, 1.1276950636600254)	(41.0, 0.8991466243769352)	(42.0, 0.6985768830258474)	(43.0, 0.5549792498924513)	(44.0, 0.4889874763086518)	(45.0, 0.47952316170890585)	(46.0, 0.4805860127260637)	(47.0, 0.45015350976398405)	(48.0, 0.3741666294753265)	(49.0, 0.27906489936796086)	(50.0, 0.231384820007067)	(51.0, 0.19056830061156246)	(52.0, 0.12552409861397767)	(53.0, 0.08534098268519416)	(54.0, 0.05754217133774065)	(55.0, 0.041529731699032464)	(56.0, 0.03474851418431688)	(57.0, 0.029997988183909)	(58.0, 0.026345783794795418)	(59.0, 0.02363608376416276)	(60.0, 0.022181789404571224)	(61.0, 0.02395658591832361)	(62.0, 0.021599058215187858)	(63.0, 0.015476580305862173)	(64.0, 0.013075981166989388)	(65.0, 0.012080270917303895)	(66.0, 0.011736966238341084)	(67.0, 0.009919098288851668)	(68.0, 0.007082717564874798)	(69.0, 0.00460230958919516)	(70.0, 0.0025766853026212375)	(71.0, 0.0017684624790851758)	(72.0, 0.0013187460177132293)	(73.0, 0.0009779749526173036)	(74.0, 0.0007790862640668935)	(75.0, 0.0006992774272600409)	(76.0, 0.0006460715360554726)	(77.0, 0.0005535946299141991)	(78.0, 0.0005307921051122413)	(79.0, 0.00048265344164144123)	(80.0, 0.0004231135157696624)	(81.0, 0.0003483719066965783)	(82.0, 0.00028249794615758895)	(83.0, 0.00031543492642708366)	(84.0, 0.00027743071842382055)	(85.0, 0.00022295802028581013)	(86.0, 0.00023435928268678905)	(87.0, 0.0002482941589546522)	(88.0, 0.00022675844108613645)	(89.0, 0.00019128784694975756)	(90.0, 0.0002115567578848312)	(91.0, 0.0002064895301510628)	(92.0, 0.00018242019841566284)	(93.0, 0.00017355254988156812)	(94.0, 0.0001570840597468208)	(95.0, 0.00014314918347895763)	(96.0, 0.00010387816854225244)	(97.0, 4.940547040424202e-05)	(98.0, 1.1401262400978927e-05)	(99.0, 3.800420800326309e-06)	(100.0, 2.533613866884206e-06)
ERR11471985_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 5.827397622791043e-06)	(3.0, 1.1654795245582085e-05)	(4.0, 1.1654795245582085e-05)	(5.0, 4.7539296396453246e-05)	(6.0, 8.342379754732441e-05)	(7.0, 8.342379754732441e-05)	(8.0, 8.342379754732441e-05)	(9.0, 0.0002683669957864296)	(10.0, 0.0004533101940255348)	(11.0, 0.0004533101940255348)	(12.0, 0.0004533101940255348)	(13.0, 0.0016401057256776367)	(14.0, 0.002826901257329739)	(15.0, 0.002826901257329739)	(16.0, 0.0057332391454122614)	(17.0, 0.008639577033494784)	(18.0, 0.008639577033494784)	(19.0, 0.008639577033494784)	(20.0, 0.023071433951474842)	(21.0, 0.037503290869454906)	(22.0, 0.037503290869454906)	(23.0, 0.116571108693743)	(24.0, 0.1956389265180311)	(25.0, 0.1956389265180311)	(26.0, 0.1956389265180311)	(27.0, 0.5238355069925182)	(28.0, 0.8520320874670054)	(29.0, 0.8520320874670054)	(30.0, 1.2143543684782643)	(31.0, 1.5766766494895228)	(32.0, 1.5766766494895228)	(33.0, 1.5766766494895228)	(34.0, 2.1771672783379246)	(35.0, 2.7776579071863265)	(36.0, 2.7776579071863265)	(37.0, 2.7776579071863265)	(38.0, 3.427045002667016)	(39.0, 4.076432098147706)	(40.0, 4.076432098147706)	(41.0, 4.535347635276088)	(42.0, 4.994263172404473)	(43.0, 4.994263172404473)	(44.0, 4.994263172404473)	(45.0, 4.969424043389894)	(46.0, 4.944584914375317)	(47.0, 4.944584914375317)	(48.0, 4.440459199668768)	(49.0, 3.936333484962219)	(50.0, 3.936333484962219)	(51.0, 3.936333484962219)	(52.0, 3.2541701915521424)	(53.0, 2.5720068981420643)	(54.0, 2.5720068981420643)	(55.0, 1.9670920476774119)	(56.0, 1.3621771972127594)	(57.0, 1.3621771972127594)	(58.0, 1.3621771972127594)	(59.0, 0.9725087793885707)	(60.0, 0.5828403615643819)	(61.0, 0.5828403615643819)	(62.0, 0.5828403615643819)	(63.0, 0.38866886577931103)	(64.0, 0.19449736999424014)	(65.0, 0.19449736999424014)	(66.0, 0.12139558051513791)	(67.0, 0.04829379103603566)	(68.0, 0.04829379103603566)	(69.0, 0.04829379103603566)	(70.0, 0.02820920507137927)	(71.0, 0.00812461910672288)	(72.0, 0.00812461910672288)	(73.0, 0.004493383624878957)	(74.0, 0.0008621481430350327)	(75.0, 0.0008621481430350327)	(76.0, 0.0008621481430350327)	(77.0, 0.00046726527780642914)	(78.0, 7.23824125778256e-05)	(79.0, 7.23824125778256e-05)	(80.0, 4.1098488497578934e-05)	(81.0, 9.814564417332282e-06)	(82.0, 9.814564417332282e-06)	(83.0, 9.814564417332282e-06)	(84.0, 5.213987346707776e-06)	(85.0, 6.134102760832676e-07)	(86.0, 6.134102760832676e-07)	(87.0, 6.134102760832676e-07)	(88.0, 6.134102760832676e-07)	(89.0, 6.134102760832676e-07)	(90.0, 6.134102760832676e-07)	(91.0, 3.067051380416338e-07)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
ERR11471985_2	(0.0, 0.0072543740251837085)	(1.0, 0.01293933226586277)	(2.0, 0.02839452986180579)	(3.0, 0.04902493861682514)	(4.0, 0.07729998835407921)	(5.0, 0.10919439889489338)	(6.0, 0.15406466401038524)	(7.0, 0.2028490771363006)	(8.0, 0.26373489641441034)	(9.0, 0.4093691680557709)	(10.0, 0.5762296838331031)	(11.0, 0.7168129201653582)	(12.0, 0.8796544167312412)	(13.0, 1.0650395692867773)	(14.0, 1.28409985581149)	(15.0, 1.501234373167118)	(16.0, 1.7378060632740548)	(17.0, 2.0570042596020945)	(18.0, 2.659772096514667)	(19.0, 3.192417100502564)	(20.0, 3.166793048638006)	(21.0, 3.3065665332091063)	(22.0, 3.9403465060309784)	(23.0, 4.2577472830180545)	(24.0, 4.036084521116643)	(25.0, 3.8554170073654594)	(26.0, 3.845542940303707)	(27.0, 3.7777387522415116)	(28.0, 3.667274942241664)	(29.0, 3.6361975879237676)	(30.0, 3.6177950400064587)	(31.0, 3.599209880545076)	(32.0, 3.7186393956117203)	(33.0, 3.588317884561924)	(34.0, 3.378861400013734)	(35.0, 3.4504018202676976)	(36.0, 3.411272340350645)	(37.0, 3.3492225029158758)	(38.0, 3.203660754144876)	(39.0, 2.732464012990839)	(40.0, 2.229549211872837)	(41.0, 1.8451096500668722)	(42.0, 1.4387243546412813)	(43.0, 1.0606287178764706)	(44.0, 0.8788587521463445)	(45.0, 0.8532326132927106)	(46.0, 0.7624011095226979)	(47.0, 0.6198227116346098)	(48.0, 0.5339634593361162)	(49.0, 0.39222820503438427)	(50.0, 0.29147828568477274)	(51.0, 0.229411752337403)	(52.0, 0.12430315630436328)	(53.0, 0.06548554319971644)	(54.0, 0.0379263307152351)	(55.0, 0.021458421670580805)	(56.0, 0.015368587549324748)	(57.0, 0.01288820103352186)	(58.0, 0.010774081100405895)	(59.0, 0.008988661946624347)	(60.0, 0.007602379453463162)	(61.0, 0.005828438739594878)	(62.0, 0.003954322550119916)	(63.0, 0.003038134346133827)	(64.0, 0.002609779838461515)	(65.0, 0.002172033879951077)	(66.0, 0.001840724364272736)	(67.0, 0.0016372429294466682)	(68.0, 0.0014687185616291812)	(69.0, 0.0012308018070633176)	(70.0, 0.0010393205594192998)	(71.0, 0.0009005357859225461)	(72.0, 0.0007888818704026011)	(73.0, 0.0007111415273536674)	(74.0, 0.0006198357553163295)	(75.0, 0.0005687045229754201)	(76.0, 0.0005514868631055221)	(77.0, 0.0005087035870651694)	(78.0, 0.00046592031102481667)	(79.0, 0.0004565288601866905)	(80.0, 0.0004413981893919316)	(81.0, 0.0004382677057792229)	(82.0, 0.00041739781502783126)	(83.0, 0.00038400598982560476)	(84.0, 0.00039235394612616143)	(85.0, 0.0003631360990742132)	(86.0, 0.00033287475748469545)	(87.0, 0.00031878758122750613)	(88.0, 0.0003208745703026453)	(89.0, 0.0003302660211407715)	(90.0, 0.0003245268011841388)	(91.0, 0.000304178657701532)	(92.0, 0.00029009148144434275)	(93.0, 0.0002838305142189253)	(94.0, 0.00024209073271614216)	(95.0, 0.00020191619301971337)	(96.0, 0.00015600243336665195)	(97.0, 7.774034304893358e-05)	(98.0, 2.347862709531551e-05)	(99.0, 8.347956300556626e-06)	(100.0, 3.1304836127087343e-06)
