Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ERR11471971_1	(1.0, 19.14592904122436)	(2.0, 15.290291822891058)	(3.0, 12.396146367068818)	(4.0, 10.100720371745494)	(5.0, 8.314530537526496)	(6.0, 6.948734389223564)	(7.0, 5.950905531814164)	(8.0, 4.957100360227156)	(9.0, 4.105718153351833)	('>10', 11.72698541366933)	('>50', 0.057900965702722844)	('>100', 0.10367567379223037)	('>500', 0.06669019784099331)	('>1k', 0.12008818431070743)	('>5k', 0.034575699244239796)	('>10k+', 0.6800072903667729)
ERR11471971_2	(1.0, 21.839192916200414)	(2.0, 6.501432613716195)	(3.0, 4.190191373858529)	(4.0, 2.976817007304648)	(5.0, 2.3406006458745923)	(6.0, 1.9040362177578116)	(7.0, 1.7048630782832241)	(8.0, 1.446209746062409)	(9.0, 1.2798360502886401)	('>10', 18.40562182711597)	('>50', 7.173224391770249)	('>100', 14.260744841274754)	('>500', 4.319878783408617)	('>1k', 6.467812716440126)	('>5k', 1.7134734130620535)	('>10k+', 3.4760643775818214)
ERR11471975_1	(1.0, 7.137234845209599)	(2.0, 5.393804319726211)	(3.0, 4.966317008811035)	(4.0, 4.5815029028708665)	(5.0, 4.361299943340326)	(6.0, 4.032651666965585)	(7.0, 3.9151382811199245)	(8.0, 3.7128026710419793)	(9.0, 3.57917427317161)	('>10', 56.51412504528977)	('>50', 0.2741820351031877)	('>100', 0.18096906074223712)	('>500', 0.06595460981216113)	('>1k', 0.2312417916423391)	('>5k', 0.11357746982226682)	('>10k+', 0.9400240753308623)
ERR11471975_2	(1.0, 20.82649466858312)	(2.0, 6.126490690982969)	(3.0, 4.1216697299662775)	(4.0, 3.065803070313123)	(5.0, 2.3801786792674395)	(6.0, 2.024431924640821)	(7.0, 1.723937597998008)	(8.0, 1.4925441812624145)	(9.0, 1.3510094773992225)	('>10', 18.98605793851081)	('>50', 6.746761051922949)	('>100', 12.844049464588025)	('>500', 4.664280811471484)	('>1k', 9.06707871169016)	('>5k', 2.408709642910219)	('>10k+', 2.170502358492842)
ERR11471979_1	(1.0, 5.004228384153901)	(2.0, 3.530441297279046)	(3.0, 3.1705360408650427)	(4.0, 2.9725793482795773)	(5.0, 2.83779006344579)	(6.0, 2.6919626211982832)	(7.0, 2.614482543919134)	(8.0, 2.4407328034962554)	(9.0, 2.3898527571224526)	('>10', 68.52880265886148)	('>50', 2.2218707215131617)	('>100', 0.2386780255332796)	('>500', 0.11047776138835197)	('>1k', 0.16801078572474648)	('>5k', 0.09151702162973398)	('>10k+', 0.9880371655898543)
ERR11471979_2	(1.0, 18.43312498028337)	(2.0, 6.751162793611548)	(3.0, 5.062506100494504)	(4.0, 4.168808366740644)	(5.0, 3.497393608067366)	(6.0, 2.8265167991670337)	(7.0, 2.427149393616301)	(8.0, 2.0424883744405538)	(9.0, 1.8262767585546802)	('>10', 23.6449996372123)	('>50', 7.422533717708385)	('>100', 12.464305954833383)	('>500', 3.625762226118296)	('>1k', 4.67558244989172)	('>5k', 0.5690694945927441)	('>10k+', 0.562319344667259)
ERR11471985_1	(1.0, 8.654597163734753)	(2.0, 6.294038199026873)	(3.0, 5.4788352089298105)	(4.0, 4.523681309786496)	(5.0, 3.959478596894979)	(6.0, 3.658405124657846)	(7.0, 3.254485133532667)	(8.0, 3.0754994292945455)	(9.0, 2.927276871172198)	('>10', 54.001270010069156)	('>50', 0.6275121450344314)	('>100', 0.36530917563398513)	('>500', 0.1848999589110357)	('>1k', 0.4737266501557832)	('>5k', 0.18438834655573555)	('>10k+', 2.3365966766095867)
ERR11471985_2	(1.0, 16.979622774521264)	(2.0, 4.421819561777164)	(3.0, 3.248998277352972)	(4.0, 2.444305281195509)	(5.0, 1.9868858682902015)	(6.0, 1.565933086095523)	(7.0, 1.359257663266465)	(8.0, 1.215522247452741)	(9.0, 1.0335624427996526)	('>10', 14.339819835329687)	('>50', 5.367647602680825)	('>100', 11.453738204968246)	('>500', 4.823596714895879)	('>1k', 11.9834874756844)	('>5k', 4.604672635198968)	('>10k+', 13.171130328490847)
