Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
ERR11471971_1	0.4212343044170577	0.0
ERR11471971_2	0.13017336364673146	0.11370107028767609
ERR11471975_1	0.3607734302780356	0.3748192496078569
ERR11471975_2	0.14841760776246218	0.21342961903533927
ERR11471979_1	0.3428157941561607	0.5769977112296732
ERR11471979_2	0.15526341009300626	0.10282122037141889
ERR11471985_1	0.5065170433396473	1.2552222951763439
ERR11471985_2	0.4882053289701664	2.912626231890101
