ligand,score,output,log
ligand_5,-5.999,docking_p24/resultats/ligand_5_out.pdbqt,docking_p24/logs/ligand_5.log
ligand_18,-5.992,docking_p24/resultats/ligand_18_out.pdbqt,docking_p24/logs/ligand_18.log
ligand_47,-5.983,docking_p24/resultats/ligand_47_out.pdbqt,docking_p24/logs/ligand_47.log
ligand_39,-5.978,docking_p24/resultats/ligand_39_out.pdbqt,docking_p24/logs/ligand_39.log
ligand_22,-5.977,docking_p24/resultats/ligand_22_out.pdbqt,docking_p24/logs/ligand_22.log
ligand_95,-5.961,docking_p24/resultats/ligand_95_out.pdbqt,docking_p24/logs/ligand_95.log
ligand_94,-5.946,docking_p24/resultats/ligand_94_out.pdbqt,docking_p24/logs/ligand_94.log
ligand_98,-5.866,docking_p24/resultats/ligand_98_out.pdbqt,docking_p24/logs/ligand_98.log
ligand_41,-5.827,docking_p24/resultats/ligand_41_out.pdbqt,docking_p24/logs/ligand_41.log
ligand_23,-5.822,docking_p24/resultats/ligand_23_out.pdbqt,docking_p24/logs/ligand_23.log
ligand_56,-5.818,docking_p24/resultats/ligand_56_out.pdbqt,docking_p24/logs/ligand_56.log
ligand_15,-5.735,docking_p24/resultats/ligand_15_out.pdbqt,docking_p24/logs/ligand_15.log
ligand_100,-5.728,docking_p24/resultats/ligand_100_out.pdbqt,docking_p24/logs/ligand_100.log
ligand_86,-5.727,docking_p24/resultats/ligand_86_out.pdbqt,docking_p24/logs/ligand_86.log
ligand_55,-5.705,docking_p24/resultats/ligand_55_out.pdbqt,docking_p24/logs/ligand_55.log
ligand_52,-5.653,docking_p24/resultats/ligand_52_out.pdbqt,docking_p24/logs/ligand_52.log
ligand_78,-5.581,docking_p24/resultats/ligand_78_out.pdbqt,docking_p24/logs/ligand_78.log
ligand_44,-5.575,docking_p24/resultats/ligand_44_out.pdbqt,docking_p24/logs/ligand_44.log
ligand_12,-5.564,docking_p24/resultats/ligand_12_out.pdbqt,docking_p24/logs/ligand_12.log
ligand_17,-5.539,docking_p24/resultats/ligand_17_out.pdbqt,docking_p24/logs/ligand_17.log
ligand_35,-5.502,docking_p24/resultats/ligand_35_out.pdbqt,docking_p24/logs/ligand_35.log
ligand_59,-5.495,docking_p24/resultats/ligand_59_out.pdbqt,docking_p24/logs/ligand_59.log
ligand_81,-5.477,docking_p24/resultats/ligand_81_out.pdbqt,docking_p24/logs/ligand_81.log
ligand_50,-5.378,docking_p24/resultats/ligand_50_out.pdbqt,docking_p24/logs/ligand_50.log
ligand_45,-5.298,docking_p24/resultats/ligand_45_out.pdbqt,docking_p24/logs/ligand_45.log
ligand_43,-5.262,docking_p24/resultats/ligand_43_out.pdbqt,docking_p24/logs/ligand_43.log
ligand_82,-5.178,docking_p24/resultats/ligand_82_out.pdbqt,docking_p24/logs/ligand_82.log
ligand_19,-5.147,docking_p24/resultats/ligand_19_out.pdbqt,docking_p24/logs/ligand_19.log
ligand_29,-4.924,docking_p24/resultats/ligand_29_out.pdbqt,docking_p24/logs/ligand_29.log
ligand_42,-4.864,docking_p24/resultats/ligand_42_out.pdbqt,docking_p24/logs/ligand_42.log
ligand_53,-4.83,docking_p24/resultats/ligand_53_out.pdbqt,docking_p24/logs/ligand_53.log
ligand_36,-4.829,docking_p24/resultats/ligand_36_out.pdbqt,docking_p24/logs/ligand_36.log
ligand_83,-4.677,docking_p24/resultats/ligand_83_out.pdbqt,docking_p24/logs/ligand_83.log
ligand_21,-4.402,docking_p24/resultats/ligand_21_out.pdbqt,docking_p24/logs/ligand_21.log
ligand_28,-4.388,docking_p24/resultats/ligand_28_out.pdbqt,docking_p24/logs/ligand_28.log
ligand_75,-4.133,docking_p24/resultats/ligand_75_out.pdbqt,docking_p24/logs/ligand_75.log
ligand_14,-3.872,docking_p24/resultats/ligand_14_out.pdbqt,docking_p24/logs/ligand_14.log
ligand_64,-3.791,docking_p24/resultats/ligand_64_out.pdbqt,docking_p24/logs/ligand_64.log
