Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR28266090,AMPLICON,602,38336564,PRJNA1085262,SAMN40298801,Metagenome or environmental,20064132,CENTRAL SOUTH UNIVERSITY,2022-05-08,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX23876172,China,Asia,China:Yongzhou city,Illumina MiSeq,Tin mine abandoned mining site soil,26.2256 N 112.1622 E,XJD7,SINGLE,PCR,METAGENOMIC,tin mine metagenome,ILLUMINA,2024-03-07T00:00:00Z,2024-03-07T19:40:00Z,1,XJD7_20,SRP494034
SRR28266091,AMPLICON,602,36920660,PRJNA1085262,SAMN40298800,Metagenome or environmental,19494108,CENTRAL SOUTH UNIVERSITY,2022-05-08,public,"sra,fastq,run.zq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX23876171,China,Asia,China:Yongzhou city,Illumina MiSeq,Tin mine abandoned mining site soil,26.2294 N 112.17 E,XJD6,SINGLE,PCR,METAGENOMIC,tin mine metagenome,ILLUMINA,2024-03-07T00:00:00Z,2024-03-07T19:40:00Z,1,XJD6_20,SRP494034
SRR28266092,AMPLICON,602,46689916,PRJNA1085262,SAMN40298799,Metagenome or environmental,24522998,CENTRAL SOUTH UNIVERSITY,2022-05-08,public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX23876170,China,Asia,China:Yongzhou city,Illumina MiSeq,Tin mine abandoned mining site soil,26.2286 N 112.1633 E,XJD5,SINGLE,PCR,METAGENOMIC,tin mine metagenome,ILLUMINA,2024-03-07T00:00:00Z,2024-03-07T19:41:00Z,1,XJD5_20,SRP494034
SRR28266093,AMPLICON,602,36283142,PRJNA1085262,SAMN40298798,Metagenome or environmental,18545727,CENTRAL SOUTH UNIVERSITY,2022-05-08,public,"fastq,sra,run.zq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX23876169,China,Asia,China:Yongzhou city,Illumina MiSeq,Tin mine abandoned mining site soil,26.2272 N 112.1647 E,XJD4,SINGLE,PCR,METAGENOMIC,tin mine metagenome,ILLUMINA,2024-03-07T00:00:00Z,2024-03-07T19:41:00Z,1,XJD4_20,SRP494034
SRR28266094,AMPLICON,602,53246298,PRJNA1085262,SAMN40298797,Metagenome or environmental,28502710,CENTRAL SOUTH UNIVERSITY,2022-05-08,public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX23876168,China,Asia,China:Yongzhou city,Illumina MiSeq,Tin mine abandoned mining site soil,26.2247 N 112.1606 E,XJD3,SINGLE,PCR,METAGENOMIC,tin mine metagenome,ILLUMINA,2024-03-07T00:00:00Z,2024-03-07T19:40:00Z,1,XJD3_20,SRP494034
SRR28266095,AMPLICON,602,36398726,PRJNA1085262,SAMN40298796,Metagenome or environmental,18913690,CENTRAL SOUTH UNIVERSITY,2022-05-08,public,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX23876167,China,Asia,China:Yongzhou city,Illumina MiSeq,Tin mine abandoned mining site soil,26.2264 N 112.1536 E,XJD2,SINGLE,PCR,METAGENOMIC,tin mine metagenome,ILLUMINA,2024-03-07T00:00:00Z,2024-03-07T19:41:00Z,1,XJD2_20,SRP494034
SRR28266096,AMPLICON,602,37479316,PRJNA1085262,SAMN40298795,Metagenome or environmental,19648718,CENTRAL SOUTH UNIVERSITY,2022-05-08,public,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX23876166,China,Asia,China:Yongzhou city,Illumina MiSeq,Tin mine abandoned mining site soil,26.2044 N 112.1761 E,XJD1,SINGLE,PCR,METAGENOMIC,tin mine metagenome,ILLUMINA,2024-03-07T00:00:00Z,2024-03-07T19:41:00Z,1,XJD1_20,SRP494034
SRR28266097,AMPLICON,602,35117068,PRJNA1085262,SAMN40298794,Metagenome or environmental,21637094,CENTRAL SOUTH UNIVERSITY,2022-05-11,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX23876165,China,Asia,China:Shaoyang city,Illumina MiSeq,Manganese ore abandoned treatment plant soil,26.6006 N 110.7375 E,WG4,SINGLE,PCR,METAGENOMIC,mine metagenome,ILLUMINA,2024-03-07T00:00:00Z,2024-03-07T19:40:00Z,1,WG4_20,SRP494034
SRR28266098,AMPLICON,602,32768666,PRJNA1085262,SAMN40298793,Metagenome or environmental,19684243,CENTRAL SOUTH UNIVERSITY,2022-05-11,public,"run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX23876164,China,Asia,China:Shaoyang city,Illumina MiSeq,Manganese ore abandoned treatment plant soil,26.6025 N 110.7378 E,WG2,SINGLE,PCR,METAGENOMIC,mine metagenome,ILLUMINA,2024-03-07T00:00:00Z,2024-03-07T19:40:00Z,1,WG2_20,SRP494034
SRR28266099,AMPLICON,602,31064404,PRJNA1085262,SAMN40298792,Metagenome or environmental,19189713,CENTRAL SOUTH UNIVERSITY,2022-05-11,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX23876163,China,Asia,China:Shaoyang city,Illumina MiSeq,Manganese ore abandoned treatment plant soil,26.6306 N 110.7375 E,WG1,SINGLE,PCR,METAGENOMIC,mine metagenome,ILLUMINA,2024-03-07T00:00:00Z,2024-03-07T19:40:00Z,1,WG1_20,SRP494034
